id,da aNo ificacao,ocupacaoSuspei oCli,ocupacaoSuspei oU i,ocupacaoConfirmadoCli,ocupacaoConfirmadoU i,ocupacaoCovidU i,ocupacaoCovidCli,ocupacaoHospi alarU i,ocupacaoHospi alarCli,saidaSuspei aObi os,saidaSuspei aAl as,saidaConfirmadaObi os,saidaConfirmadaAl as,origem,es adoNo ificacao,municipioNo ificacao,es ado,municipio,_crea ed_a,_upda ed_a,target
1290613,2022-01-01 03:00:22,0,0,0,0,0,1,12,39,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 12:15:06.521,2022-01-01 12:15:06.521,0
1290615,2022-01-01 03:00:45,0,0,0,0,0,0,9,15,0,0,0,0,parse-cloud,Minas Gerais,Pa os de Minas,Minas Gerais,Pa os de Minas,2022-01-01 12:15:54.998,2022-01-01 12:15:54.998,0
1290616,2022-01-01 03:00:00,0,0,0,0,3,5,10,21,0,2,1,1,parse-cloud,São Paulo, a uí,São Paulo, a uí,2022-01-01 12:17:33.711,2022-01-01 12:26:44.903,0
1290618,2022-01-01 03:00:18,0,0,0,0,0,0,5,16,0,0,0,0,parse-cloud,Rio de Janeiro,Cambuci,Rio de Janeiro,Cambuci,2022-01-01 12:18:50.958,2022-01-01 12:18:50.958,0
1290621,2022-01-01 03:00:10,0,0,0,0,0,0,6,16,0,0,0,0,parse-cloud,Rio de Janeiro,I aocara,Rio de Janeiro,I aocara,2022-01-01 12:19:34.933,2022-01-01 12:19:34.933,0
1290622,2022-01-01 03:00:00,0,0,0,0,2,0,12,31,0,0,0,1,parse-cloud,Minas Gerais,Governador Valadares,Minas Gerais,Governador Valadares,2022-01-01 12:20:37.034,2022-01-03 12:46:55.760,0
1290623,2022-01-01 03:00:29,0,0,0,0,0,0,0,12,0,0,0,0,parse-cloud,Rio de Janeiro,Aperibé,Rio de Janeiro,Aperibé,2022-01-01 12:20:49.854,2022-01-01 12:20:49.854,0
1290624,2022-01-01 03:00:23,0,0,0,0,0,0,15,12,0,0,0,0,parse-cloud,Alagoas,São Miguel dos Campos,Alagoas,São Miguel dos Campos,2022-01-01 12:23:50.190,2022-01-01 12:23:50.190,0
1290625,2022-01-01 03:00:13,0,0,0,0,0,0,0,11,0,0,0,0,parse-cloud,Minas Gerais,En re Rios de Minas,Minas Gerais,En re Rios de Minas,2022-01-01 12:23:52.445,2022-01-01 12:23:52.445,0
1290626,2022-01-01 03:00:43,0,0,0,0,1,1,0,7,0,0,0,0,parse-cloud,Minas Gerais,Man ena,Minas Gerais,Man ena,2022-01-01 12:26:43.151,2022-01-01 12:26:43.151,0
